电影名称,上映年份,上映时间,电影标签,播放时长,评分,语言,导演,作者,主演,宣传语,描述
Swapped,2026,2026-05-01,"Adventure,Animation,Family,Fantasy",102m,90,English,Nathan Greno,Robert Snow,"Michael B. Jordan,Juno Temple,Tracy Morgan,Cedric the Entertainer,Justina Machado,Nate Torrence,Camden Brooks,Táta Vega,Ambika Mod,View More ",Transform your destiny.,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home."
The Shawshank Redemption,1994,2003-09-01,"Drama,Crime",142m,87,English,Frank Darabont,Stephen King,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown,Gil Bellows,James Whitmore,Mark Rolston,Jeffrey DeMunn,View More ",Fear can hold you prisoner. Hope can set you free.,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope."
The Godfather,1972,2022-02-25,"Drama,Crime",175m,87,English,Francis Ford Coppola,Mario Puzo,"Marlon Brando,Al Pacino,James Caan,Robert Duvall,Richard S. Castellano,Diane Keaton,Talia Shire,Gianni Russo,Sterling Hayden,View More ",An offer you can't refuse.,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge."
Project Hail Mary,2026,2026-03-19,"Science Fiction,Adventure",157m,87,English,Christopher Miller,Phil Lord,"Ryan Gosling,Sandra Hüller,James Ortiz,Lionel Boyce,Milana Vayntrub,Ken Leung,Priya Kansara,Mia Soteriou,Annelle Olaleye,View More ",Believe in the Hail Mary.,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction."
The Godfather Part II,1974,1974-12-20,"Drama,Crime",202m,86,English,Francis Ford Coppola,Mario Puzo,"Al Pacino,Robert Duvall,Diane Keaton,Robert De Niro,John Cazale,Talia Shire,Lee Strasberg,Michael V. Gazzo,G.D. Spradlin,View More ",The rise and fall of the Corleone empire.,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba."
Schindler's List,1993,2019-01-24,"Drama,History,War",195m,86,English,Steven Spielberg,Thomas Keneally,"Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,Jonathan Sagall,Embeth Davidtz,Małgorzata Gebel,Shmuel Levy,Mark Ivanir,View More ","Whoever saves one life, saves the world entire.",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.
Remarkably Bright Creatures,2026,2026-05-08,"Drama,Mystery",114m,86,English,Olivia Newman,John Whittington,"Sally Field,Lewis Pullman,Colm Meaney,Alfred Molina,Joan Chen,Kathy Baker,Beth Grant,Sofia Black-D'Elia,Brandon McEwan,View More ",Brighter together.,"Through unlikely bonds formed during night shifts at a local aquarium, Tova, an elderly widow, learns of a life-changing discovery that may bring her joy and wonder once again."
12 Angry Men,1957,1957-04-10,Drama,97m,86,English,Reginald Rose,Sidney Lumet,"Martin Balsam,John Fiedler,Lee J. Cobb,E.G. Marshall,Jack Klugman,Edward Binns,Jack Warden,Henry Fonda,Joseph Sweeney,View More ",It explodes like 12 sticks of dynamite!,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other."
Spirited Away,2001,2001-12-20,"Animation,Family,Fantasy",125m,85,Japanese,Hayao Miyazaki,,"Rumi Hiiragi,Miyu Irino,Mari Natsuki,Takashi Naito,Yasuko Sawaguchi,Tatsuya Gashûin,Ryunosuke Kamiki,Yumi Tamai,Yo Oizumi,View More ",Beyond the tunnel was a mysterious town.,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family."
The Dark Knight,2008,2008-07-17,"Action,Crime,Thriller",152m,85,English,Christopher Nolan,Bob Kane,"Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal,Gary Oldman,Morgan Freeman,Monique Gabriela Curnen,Ron Dean,View More ",Welcome to a world without rules.,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker."
Dilwale Dulhania Le Jayenge,1995,1995-10-20,"Comedy,Drama,Romance",190m,85,Hindi,Aditya Chopra,,"Kajol,Shah Rukh Khan,Amrish Puri,Farida Jalal,Anupam Kher,Pooja Ruparel,Parmeet Sethi,Satish Shah,Mandira Bedi,View More ","Come… fall In love, all over again…","Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga."
Selena Gomez: My Mind & Me,2022,2022-11-04,"Documentary,Music",95m,85,English,Alek Keshishian,Paul Marchand,"Selena Gomez,Raquelle Stevens,Ashley Cook,Liana Blackburn,Brent L. Boxberger,Devyck Bull,Mia Campagna,Rodney Chonia,Samantha Coatsworth,View More ","Every breath, a breakthrough.","After years in the limelight, Selena Gomez achieves unimaginable stardom. But just as she reaches a new peak, an unexpected turn pulls her into darkness. This uniquely raw and intimate documentary spans her six-year journey into a new light."
